,city,city_ibge_code,date,epidemiological_week,estimated_population,estimated_population_2019,is_last,is_repeated,last_available_confirmed,last_available_confirmed_per_100k_inhabitants,last_available_date,last_available_death_rate,last_available_deaths,order_for_place,place_type,state,new_confirmed,new_deaths,media_movel_casos,media_movel_obitos
341350,,32.0,2020-05-20,202021,4064052.0,4018650.0,False,False,8495,209.02784,2020-05-20,0.0407,346,77,state,ES,802,21,442.0,16.142857142857142
341430,,32.0,2020-05-21,202021,4064052.0,4018650.0,False,False,8878,218.45192999999998,2020-05-21,0.0409,363,78,state,ES,383,17,437.85714285714283,16.285714285714285
341510,,32.0,2020-05-22,202021,4064052.0,4018650.0,False,False,9520,234.24897,2020-05-22,0.0417,397,79,state,ES,642,34,474.57142857142856,19.571428571428573
341590,,32.0,2020-05-23,202021,4064052.0,4018650.0,False,False,9918,244.04215,2020-05-23,0.042,417,80,state,ES,398,20,474.7142857142857,20.857142857142858
341670,,32.0,2020-05-24,202022,4064052.0,4018650.0,False,False,10007,246.23209,2020-05-24,0.0447,447,81,state,ES,89,30,466.14285714285717,23.142857142857142
341750,,32.0,2020-05-25,202022,4064052.0,4018650.0,False,False,10365,255.04102999999998,2020-05-25,0.0449,465,82,state,ES,358,18,458.2857142857143,23.285714285714285
341830,,32.0,2020-05-26,202022,4064052.0,4018650.0,False,False,10889,267.93456000000003,2020-05-26,0.0447,487,83,state,ES,524,22,456.57142857142856,23.142857142857142
341910,,32.0,2020-05-27,202022,4064052.0,4018650.0,False,False,11484,282.57512,2020-05-27,0.0445,511,84,state,ES,595,24,427.0,23.571428571428573
341990,,32.0,2020-05-28,202022,4064052.0,4018650.0,False,False,12203,300.26682999999997,2020-05-28,0.0441,538,85,state,ES,719,27,475.0,25.0
342070,,32.0,2020-05-29,202022,4064052.0,4018650.0,False,False,12903,317.49102,2020-05-29,0.0434,560,86,state,ES,700,22,483.2857142857143,23.285714285714285
342150,,32.0,2020-05-30,202022,4064052.0,4018650.0,False,False,13437,330.63061,2020-05-30,0.0434,583,87,state,ES,534,23,502.7142857142857,23.714285714285715
342230,,32.0,2020-05-31,202023,4064052.0,4018650.0,False,False,13690,336.85593,2020-05-31,0.0441,604,88,state,ES,253,21,526.1428571428571,22.428571428571427
342310,,32.0,2020-06-01,202023,4064052.0,4018650.0,False,False,14285,351.49649,2020-06-01,0.044,628,89,state,ES,595,24,560.0,23.285714285714285
342390,,32.0,2020-06-02,202023,4064052.0,4018650.0,False,False,15151,372.80527,2020-06-02,0.0438,664,90,state,ES,866,36,608.8571428571429,25.285714285714285
